Real time,Event,Pulses,Count rate,Duration of d.a.,Duration of meas.,Dose rate,DR Error,Dose,Dose rate alarm,Dose alarm,Temp alarm,Temp.,Charge,Comment
2024.04.02  19.22.19,Current device parameters,,,9 d., 9:31:31,,,,2.08 mR,None,None,None,15.5°C,99.10%
2024.04.02  19.22.05,Current data values,806,604 cpm,,0:01:20,14.7 µR/h,24.60%,,None,None,None,,,
2024.04.02  19.20.37,Current data values,976,610 cpm,,0:01:36,13.5 µR/h,21.90%,,None,None,None,,,
2024.04.02  19.19.19,Current device parameters,,,9 d., 9:28:31,,,,2.07 mR,None,None,None,15.6°C,99.20%
2024.04.02  19.19.01,Current data values,959,599 cpm,,0:01:36,15.9 µR/h,21.50%,,None,None,None,,,
2024.04.02  19.17.25,Current data values,937,586 cpm,,0:01:36,13.3 µR/h,23.20%,,None,None,None,,,
2024.04.02  19.15.49,Current data values,917,573 cpm,,0:01:36,14.5 µR/h,22.90%,,None,None,None,,,
2024.04.02  19.14.19,Current device parameters,,,9 d., 9:23:31,,,,2.07 mR,None,None,None,15.7°C,99.20%
2024.04.02  19.14.13,Current data values,932,582 cpm,,0:01:36,11.4 µR/h,23.30%,,None,None,None,,,
2024.04.02  19.12.37,Current data values,994,621 cpm,,0:01:36,14 µR/h,21.70%,,None,None,None,,,
2024.04.02  19.11.01,Current data values,969,606 cpm,,0:01:36,15.7 µR/h,21.90%,,None,None,None,,,
2024.04.02  19.10.19,Current device parameters,,,9 d., 9:19:31,,,,2.07 mR,None,None,None,15.8°C,99.30%
2024.04.02  19.09.25,Current data values,1016,635 cpm,,0:01:36,13.4 µR/h,20.60%,,None,None,None,,,
2024.04.02  19.07.49,Current data values,989,618 cpm,,0:01:36,12.4 µR/h,22.20%,,None,None,None,,,
2024.04.02  19.07.19,Current device parameters,,,9 d., 9:16:31,,,,2.07 mR,None,None,None,16°C,99.30%
2024.04.02  19.06.13,Current data values,841,526 cpm,,0:01:36,9.91 µR/h,25%,,None,None,None,,,
2024.04.02  19.05.19,Current device parameters,,,9 d., 9:14:31,,,,2.07 mR,None,None,None,16.1°C,99.50%
2024.04.02  19.04.37,Current data values,727,454 cpm,,0:01:36,8.58 µR/h,29.50%,,None,None,None,,,
2024.04.02  19.03.19,Current device parameters,,,9 d., 9:12:31,,,,2.07 mR,None,None,None,16.2°C,99.50%
2024.04.02  19.03.01,Current data values,625,391 cpm,,0:01:36,6.82 µR/h,33%,,None,None,None,,,
2024.04.02  19.01.25,Current data values,551,344 cpm,,0:01:36,6.02 µR/h,31.70%,,None,None,None,,,
2024.04.02  19.01.19,Current device parameters,,,9 d., 9:10:31,,,,2.07 mR,None,None,None,16.3°C,99.50%
2024.04.02  18.59.49,Current data values,541,338 cpm,,0:01:36,6.6 µR/h,34.60%,,None,None,None,,,
2024.04.02  18.59.19,Current device parameters,,,9 d., 9:08:31,,,,2.07 mR,None,None,None,16.4°C,99.50%
2024.04.02  18.58.13,Current data values,540,338 cpm,,0:01:36,6.62 µR/h,36.40%,,None,None,None,,,
2024.04.02  18.57.19,Current device parameters,,,9 d., 9:06:31,,,,2.07 mR,None,None,None,16.6°C,99.50%
2024.04.02  18.56.37,Current data values,633,396 cpm,,0:01:36,8.67 µR/h,30.20%,,None,None,None,,,
2024.04.02  18.55.19,Current device parameters,,,9 d., 9:04:31,,,,2.07 mR,None,None,None,16.7°C,99.60%
2024.04.02  18.55.01,Current data values,572,358 cpm,,0:01:36,4.52 µR/h,36.50%,,None,None,None,,,
2024.04.02  18.53.25,Current data values,568,355 cpm,,0:01:36,7.07 µR/h,34.80%,,None,None,None,,,
2024.04.02  18.53.19,Current device parameters,,,9 d., 9:02:31,,,,2.07 mR,None,None,None,16.9°C,99.70%
2024.04.02  18.51.49,Current data values,558,349 cpm,,0:01:36,6.18 µR/h,31.80%,,None,None,None,,,
2024.04.02  18.51.19,Current device parameters,,,9 d., 9:00:31,,,,2.07 mR,None,None,None,17°C,99.70%
2024.04.02  18.50.13,Current data values,505,316 cpm,,0:01:36,7.38 µR/h,31.70%,,None,None,None,,,
2024.04.02  18.49.19,Current device parameters,,,9 d., 8:58:31,,,,2.07 mR,None,None,None,17.2°C,99.70%
2024.04.02  18.48.37,Current data values,553,346 cpm,,0:01:36,6.28 µR/h,34.10%,,None,None,None,,,
2024.04.02  18.47.19,Current device parameters,,,9 d., 8:56:31,,,,2.07 mR,None,None,None,17.4°C,99.70%
2024.04.02  18.47.01,Current data values,562,351 cpm,,0:01:36,8.15 µR/h,30.10%,,None,None,None,,,
2024.04.02  18.45.25,Current data values,554,346 cpm,,0:01:36,5.91 µR/h,31.10%,,None,None,None,,,
2024.04.02  18.45.19,Current device parameters,,,9 d., 8:54:31,,,,2.07 mR,None,None,None,17.6°C,99.90%
2024.04.02  18.44.19,Current device parameters,,,9 d., 8:53:31,,,,2.07 mR,None,None,None,17.7°C,99.90%
2024.04.02  18.43.49,Current data values,566,354 cpm,,0:01:36,6.8 µR/h,33.20%,,None,None,None,,,
2024.04.02  18.43.19,Current device parameters,,,9 d., 8:52:31,,,,2.07 mR,None,None,None,17.8°C,99.90%
2024.04.02  18.42.19,Current device parameters,,,9 d., 8:51:31,,,,2.07 mR,None,None,None,17.9°C,100%
2024.04.02  18.42.13,Current data values,572,358 cpm,,0:01:36,7 µR/h,33.50%,,None,None,None,,,
2024.04.02  18.41.19,Current device parameters,,,9 d., 8:50:31,,,,2.07 mR,None,None,None,18°C,99.90%
2024.04.02  18.40.37,Current data values,615,384 cpm,,0:01:36,8.05 µR/h,32.60%,,None,None,None,,,
2024.04.02  18.40.19,Current device parameters,,,9 d., 8:49:31,,,,2.07 mR,None,None,None,18.1°C,100%
2024.04.02  18.39.19,Current device parameters,,,9 d., 8:48:31,,,,2.07 mR,None,None,None,18.2°C,100%
2024.04.02  18.39.01,Current data values,601,376 cpm,,0:01:36,8.71 µR/h,31.20%,,None,None,None,,,
2024.04.02  18.38.19,Current device parameters,,,9 d., 8:47:31,,,,2.07 mR,None,None,None,18.3°C,100%
2024.04.02  18.37.25,Current data values,582,364 cpm,,0:01:36,9.57 µR/h,31.80%,,None,None,None,,,
2024.04.02  18.37.19,Current device parameters,,,9 d., 8:46:31,,,,2.07 mR,None,None,None,18.4°C,100%
2024.04.02  18.36.19,Current device parameters,,,9 d., 8:45:31,,,,2.07 mR,None,None,None,18.5°C,100%
2024.04.02  18.35.49,Current data values,559,349 cpm,,0:01:36,5.88 µR/h,34.70%,,None,None,None,,,
2024.04.02  18.35.19,Current device parameters,,,9 d., 8:44:31,,,,2.07 mR,None,None,None,18.6°C,100%
2024.04.02  18.34.19,Current device parameters,,,9 d., 8:43:31,,,,2.07 mR,None,None,None,18.7°C,100%
2024.04.02  18.34.13,Current data values,545,341 cpm,,0:01:36,5.08 µR/h,34.20%,,None,None,None,,,
2024.04.02  18.32.37,Current data values,575,359 cpm,,0:01:36,7.83 µR/h,33.20%,,None,None,None,,,
2024.04.02  18.32.19,Current device parameters,,,9 d., 8:41:31,,,,2.07 mR,None,None,None,18.9°C,100%
2024.04.02  18.31.01,Current data values,533,333 cpm,,0:01:36,6.37 µR/h,33.90%,,None,None,None,,,
2024.04.02  18.30.19,Current device parameters,,,9 d., 8:39:31,,,,2.07 mR,None,None,None,19.1°C,100%
2024.04.02  18.29.25,Current data values,503,314 cpm,,0:01:36,6.5 µR/h,35.70%,,None,None,None,,,
2024.04.02  18.28.19,Current device parameters,,,9 d., 8:37:31,,,,2.07 mR,None,None,None,19.3°C,100%
2024.04.02  18.27.49,Current data values,684,428 cpm,,0:01:36,7.06 µR/h,31.10%,,None,None,None,,,
2024.04.02  18.26.19,Current device parameters,,,9 d., 8:35:31,,,,2.07 mR,None,None,None,19.4°C,100%
2024.04.02  18.26.13,Current data values,717,448 cpm,,0:01:36,8.54 µR/h,29.40%,,None,None,None,,,
2024.04.02  18.24.37,Current data values,779,487 cpm,,0:01:36,9.09 µR/h,27%,,None,None,None,,,
2024.04.02  18.23.19,Current device parameters,,,9 d., 8:32:31,,,,2.07 mR,None,None,None,19.5°C,100%
2024.04.02  18.23.01,Current data values,925,578 cpm,,0:01:36,13.4 µR/h,24.80%,,None,None,None,,,
2024.04.02  18.21.25,Current data values,969,606 cpm,,0:01:36,12.4 µR/h,23%,,None,None,None,,,
2024.04.02  18.19.49,Current data values,995,622 cpm,,0:01:36,15.3 µR/h,22.40%,,None,None,None,,,
2024.04.02  18.18.13,Current data values,1044,652 cpm,,0:01:36,13.1 µR/h,22.50%,,None,None,None,,,
2024.04.02  18.16.37,Current data values,1009,631 cpm,,0:01:36,17 µR/h,20.20%,,None,None,None,,,
2024.04.02  18.15.01,Current data values,1013,633 cpm,,0:01:36,13.3 µR/h,21.30%,,None,None,None,,,
2024.04.02  18.13.25,Current data values,996,622 cpm,,0:01:36,12.5 µR/h,19.90%,,None,None,None,,,
